infrastructure @ /home/caillot/Documents/Dataset/CARLA_Dataset_B/./I000/
         3123406 function calls (3085231 primitive calls) in 4.389 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 threading.py:750(Thread)
        1    0.000    0.000    0.000    0.000 _hessian_update_strategy.py:103(FullHessianUpdateStrategy)
        1    0.000    0.000    0.000    0.000 random.py:4(<module>)
        1    0.000    0.000    0.000    0.000 frequencies.py:199(_FrequencyInferer)
        5    0.000    0.000    0.000    0.000 pyparsing.py:1484(_setResultsName)
        6    0.000    0.000    0.000    0.000 selectors.py:66(__len__)
       12    0.000    0.000    0.000    0.000 {built-in method builtins.round}
        2    0.000    0.000    0.000    0.000 _multivariate.py:1725(__init__)
        5    0.000    0.000    0.000    0.000 datetime.py:411(_check_date_fields)
        1    0.000    0.000    0.000    0.000 executor.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _trustregion_dogleg.py:1(<module>)
        6    0.000    0.000    0.000    0.000 core.py:1141(__init__)
        1    0.000    0.000    0.004    0.004 reader.py:18(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1941(Wm)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
        1    0.000    0.000    0.001    0.001 common.py:6(<module>)
        1    0.000    0.000    0.000    0.000 _dtype.py:1(<module>)
        8    0.000    0.000    0.000    0.000 {method 'cast' of 'memoryview' objects}
        1    0.000    0.000    0.000    0.000 _lof.py:19(LocalOutlierFactor)
        1    0.000    0.000    0.000    0.000 tokenize.py:295(detect_encoding)
        1    0.000    0.000    0.000    0.000 _trustregion_exact.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _distn_infrastructure.py:2815(rv_discrete)
        1    0.000    0.000    0.000    0.000 _ranges.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pytables.py:2757(GenericFixed)
        1    0.000    0.000    0.000    0.000 std.py:92(__init__)
        1    0.000    0.000    0.000    0.000 contextlib.py:72(inner)
       12    0.000    0.000    0.000    0.000 version.py:302(__init__)
       20    0.000    0.000    0.000    0.000 mixins.py:20(_binary_method)
        1    0.000    0.000    0.000    0.000 scope.py:87(Scope)
        4    0.000    0.000    0.000    0.000 pyparsing.py:4633(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:891(createLock)
        1    0.000    0.000    0.000    0.000 _show_versions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 lazy.py:172(<listcomp>)
        1    0.000    0.000    0.000    0.000 _polynomial.py:31(PolynomialFeatures)
        1    0.000    0.000    0.000    0.000 _constrained_layout.py:1(<module>)
        3    0.000    0.000    0.000    0.000 rcsetup.py:284(validate_toolbar)
        1    0.000    0.000    0.000    0.000 _sketches.py:1(<module>)
       20    0.000    0.000    0.000    0.000 typing.py:886(<genexpr>)
        1    0.000    0.000    0.000    0.000 _differentialevolution.py:334(DifferentialEvolutionSolver)
        1    0.000    0.000    0.000    0.000 zipfile.py:1192(ZipFile)
        1    0.000    0.000    0.000    0.000 link.py:1(<module>)
        1    0.000    0.000    0.000    0.000 distance.py:1956(<dictcomp>)
        1    0.000    0.000    0.000    0.000 _multivariate.py:351(__init__)
        1    0.000    0.000    0.000    0.000 glob.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _openpyxl.py:31(OpenpyxlWriter)
        1    0.000    0.000    0.000    0.000 ssl.py:182(_TLSAlertType)
        1    0.000    0.000    0.000    0.000 chainmap.py:1(<module>)
       24    0.000    0.000    0.000    0.000 dviread.py:155(<listcomp>)
        1    0.000    0.000    0.000    0.000 lazy.py:118(<listcomp>)
        7    0.000    0.000    0.000    0.000 {built-in method posix.WIFSIGNALED}
        1    0.000    0.000    0.000    0.000 numerictypes.py:438(__getitem__)
        1    0.000    0.000    0.000    0.000 _xlrd.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bvls.py:1(<module>)
        1    0.000    0.000    0.000    0.000 interpolative.py:32(<module>)
        7    0.000    0.000    0.000    0.000 pyparsing.py:4758(__init__)
        1    0.000    0.000    0.000    0.000 signals.py:1(<module>)
       15    0.000    0.000    0.000    0.000 {method 'index' of 'str' objects}
        2    0.000    0.000    0.000    0.000 error.py:2(<module>)
       34    0.000    0.000    0.000    0.000 invalid.py:38(make_invalid_op)
        1    0.000    0.000    0.000    0.000 dia.py:16(dia_matrix)
        1    0.000    0.000    0.000    0.000 report.py:1(<module>)
        1    0.000    0.000    0.000    0.000 minres.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _multivariate.py:2459(__init__)
        3    0.000    0.000    0.000    0.000 rcsetup.py:976(validate_webagg_address)
        1    0.000    0.000    0.000    0.000 __init__.py:536(_get_xdg_config_dir)
       22    0.000    0.000    0.000    0.000 codata.py:1566(_check_obsolete)
        2    0.000    0.000    0.000    0.000 _version.py:20(get_versions)
       17    0.000    0.000    0.000    0.000 __init__.py:346(<genexpr>)
        1    0.000    0.000    0.000    0.000 _mask.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _backend_tk.py:130(FigureCanvasTk)
        1    0.000    0.000    0.000    0.000 check.py:1(<module>)
        1    0.000    0.000    0.000    0.000 futures.py:29(Future)
        1    0.000    0.000    0.007    0.007 _rotation_groups.py:1(<module>)
        1    0.000    0.000    0.000    0.000 managers.py:1530(SingleBlockManager)
        1    0.000    0.000    0.001    0.001 process.py:9(<module>)
        1    0.000    0.000    0.000    0.000 apply.py:98(Apply)
        1    0.000    0.000    0.000    0.000 version.py:83(_BaseVersion)
        1    0.000    0.000    0.000    0.000 _pyxlsb.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cloudpickle_wrapper.py:1(<module>)
        1    0.000    0.000    0.001    0.001 pydoc.py:370(Doc)
        8    0.000    0.000    0.000    0.000 fontconfig_pattern.py:138(_name)
        1    0.000    0.000    0.000    0.000 pytables.py:2263(DataCol)
        1    0.000    0.000    0.000    0.000 tight_layout.py:1(<module>)
        9    0.000    0.000    0.000    0.000 pyparsing.py:4645(__str__)
        9    0.000    0.000    0.000    0.000 pyparsing.py:3796(parseImpl)
        1    0.000    0.000    0.000    0.000 datetime.py:789(date)
       11    0.000    0.000    0.000    0.000 pyparsing.py:646(__iter__)
        1    0.000    0.000    0.000    0.000 case.py:424(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:270(wait)
        1    0.000    0.000    0.000    0.000 stats.py:1(<module>)
        5    0.000    0.000    0.000    0.000 subprocess.py:908(__enter__)
       17    0.000    0.000    0.000    0.000 typing.py:839(<genexpr>)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:937(_sanity_check)
        1    0.000    0.000    0.000    0.000 array_manager.py:689(ArrayManager)
        1    0.000    0.000    0.000    0.000 utils.py:27(<module>)
        1    0.000    0.000    0.000    0.000 semantickitti.py:20(SemanticKITTI)
        1    0.000    0.000    0.000    0.000 backend_bases.py:3220(_Backend)
        2    0.000    0.000    0.000    0.000 __init__.py:248(_register_at_fork_reinit_lock)
        1    0.000    0.000    0.000    0.000 std.py:118(create_mp_lock)
        1    0.000    0.000    0.000    0.000 __init__.py:666(matplotlib_fname)
        1    0.000    0.000    0.000    0.000 uuid.py:72(SafeUUID)
        1    0.000    0.000    0.000    0.000 datetime.py:1211(time)
        1    0.000    0.000    0.000    0.000 rk.py:385(DOP853)
        2    0.000    0.000    0.000    0.000 triangulation.py:1(<module>)
        1    0.000    0.000    0.000    0.000 format_helpers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _quadrature.py:22(_copy_func)
        1    0.000    0.000    0.000    0.000 tz.py:1534(__call__)
        4    0.000    0.000    0.000    0.000 re.py:223(split)
        1    0.000    0.000    0.000    0.000 ssl.py:812(SSLObject)
        1    0.000    0.000    0.000    0.000 function.py:36(CompatValidator)
       40    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        3    0.000    0.000    0.000    0.000 ufunclike.py:43(_fix_out_named_y)
        1    0.000    0.000    0.000    0.000 mAP.py:1(<module>)
        8    0.000    0.000    0.000    0.000 pyparsing.py:1782(clear)
        1    0.000    0.000    0.001    0.001 linecache.py:1(<module>)
        8    0.000    0.000    0.000    0.000 __init__.py:1224(__init__)
        6    0.000    0.000    0.000    0.000 __init__.py:38(__getattr__)
        1    0.000    0.000    0.000    0.000 _gcrotmk.py:4(<module>)
        1    0.000    0.000    0.000    0.000 gbq.py:1(<module>)
        1    0.000    0.000    0.000    0.000 runners.py:1(<module>)
       10    0.000    0.000    0.000    0.000 pyparsing.py:4663(stopOn)
        1    0.000    0.000    0.000    0.000 _encoders.py:183(OneHotEncoder)
        1    0.000    0.000    0.000    0.000 socket.py:213(socket)
        1    0.000    0.000    0.000    0.000 backend_managers.py:39(ToolManager)
        1    0.000    0.000    0.000    0.000 _parallel_backends.py:27(ParallelBackendBase)
        7    0.000    0.000    0.000    0.000 nonlin.py:1625(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:261(_reset_cache)
        1    0.000    0.000    0.000    0.000 tricontour.py:1(<module>)
        2    0.000    0.000    0.000    0.000 locale.py:575(getlocale)
        1    0.000    0.000    0.000    0.000 events.py:4(<module>)
        1    0.000    0.000    0.000    0.000 base.py:171(SelectionMixin)
        1    0.000    0.000    0.000    0.000 base.py:24(DataManager)
        3    0.000    0.000    0.000    0.000 pathlib.py:483(__init__)
        1    0.000    0.000    0.000    0.000 addict.py:4(Dict)
        1    0.000    0.000    0.000    0.000 clipboards.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _pep440.py:285(Version)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
        1    0.000    0.000    0.000    0.000 indexing.py:628(_LocationIndexer)
        1    0.000    0.000    0.000    0.000 numerictypes.py:515(<lambda>)
        1    0.000    0.000    0.000    0.000 _root_scalar.py:1(<module>)
       11    0.000    0.000    0.000    0.000 inspect.py:285(isbuiltin)
        1    0.000    0.000    0.001    0.001 _trustregion_krylov.py:1(<module>)
        1    0.000    0.000    0.000    0.000 integer.py:236(IntegerArray)
       19    0.000    0.000    0.000    0.000 utils.py:53(_set_function_name)
        1    0.000    0.000    0.000    0.000 interface.py:53(LinearOperator)
        2    0.000    0.000    0.000    0.000 util.py:171(register_after_fork)
        1    0.000    0.000    0.000    0.000 _shgo.py:446(SHGO)
        9    0.000    0.000    0.000    0.000 fontconfig_pattern.py:145(<listcomp>)
        1    0.000    0.000    0.000    0.000 threading.py:834(start)
        1    0.000    0.000    0.000    0.000 defmatrix.py:74(matrix)
        1    0.000    0.000    0.000    0.000 messagebox.py:25(<module>)
        1    0.000    0.000    0.000    0.000 datetimelike.py:607(DatetimeTimedeltaMixin)
        1    0.000    0.000    0.000    0.000 case.py:208(_AssertRaisesContext)
        1    0.000    0.000    0.000    0.000 _layoutbox.py:46(LayoutBox)
       32    0.000    0.000    0.000    0.000 {method '__init_subclass__' of 'object' objects}
        1    0.000    0.000    0.000    0.000 orc.py:1(<module>)
        6    0.000    0.000    0.000    0.000 selectors.py:275(_key_from_fd)
        6    0.000    0.000    0.000    0.000 pathlib.py:374(gethomedir)
        1    0.000    0.000    0.000    0.000 flinalg.py:5(<module>)
        1    0.000    0.000    0.000    0.000 floating.py:182(FloatingArray)
        1    0.000    0.000    0.000    0.000 triangulation.py:5(Complex)
        1    0.000    0.000    0.000    0.000 pyparsing.py:6746(pyparsing_unicode)
        1    0.000    0.000    0.000    0.000 {built-in method math.exp}
        3    0.000    0.000    0.000    0.000 __init__.py:35(__deprecate_private_class)
        1    0.000    0.000    0.000    0.000 textpath.py:388(TextPath)
        1    0.000    0.000    0.000    0.000 base_tasks.py:1(<module>)
        1    0.000    0.000    0.000    0.000 frozen.py:1(<module>)
        1    0.000    0.000    0.000    0.000 metaestimators.py:19(_BaseComposition)
        1    0.000    0.000    0.000    0.000 gzip.py:120(GzipFile)
        1    0.000    0.000    0.000    0.000 tempfile.py:761(SpooledTemporaryFile)
       11    0.000    0.000    0.000    0.000 inspect.py:90(ismethoddescriptor)
        1    0.000    0.000    0.000    0.000 _parser.py:399(_ymd)
        1    0.000    0.000    0.001    0.001 bev_box.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _dtype_ctypes.py:1(<module>)
        5    0.000    0.000    0.000    0.000 typing.py:153(_type_repr)
       35    0.000    0.000    0.000    0.000 _collections_abc.py:392(__subclasshook__)
        1    0.000    0.000    0.000    0.000 typing.py:1735(__new__)
       14    0.000    0.000    0.000    0.000 {method 'split' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 _store_backends.py:33(StoreBackendBase)
        1    0.000    0.000    0.000    0.000 flags.py:4(Flags)
        5    0.000    0.000    0.000    0.000 dataclasses.py:769(<listcomp>)
        1    0.000    0.000    0.000    0.000 fitpack2.py:71(UnivariateSpline)
       10    0.000    0.000    0.000    0.000 enum.py:957(_high_bit)
        2    0.000    0.000    0.000    0.000 reprlib.py:38(__init__)
        1    0.000    0.000    0.000    0.000 afm.py:401(AFM)
        1    0.000    0.000    0.000    0.000 ops.py:1107(BinGrouper)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:5335(lognorm_gen)
        1    0.000    0.000    0.000    0.000 threading.py:1262(__init__)
        1    0.000    0.000    0.000    0.000 _base.py:671(BaseSVC)
        1    0.000    0.000    0.000    0.000 vector.py:10(vec)
        1    0.000    0.000    0.000    0.000 __init__.py:513(get_home)
        1    0.000    0.000    0.000    0.000 tokenize.py:325(find_cookie)
        1    0.000    0.000    0.000    0.000 Image.py:3321(_apply_env_variables)
       15    0.000    0.000    0.000    0.000 ssl.py:965(_sslcopydoc)
        1    0.000    0.000    0.000    0.000 _trustregion_ncg.py:1(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:376(Semaphore)
        3    0.000    0.000    0.000    0.000 pyparsing.py:3758(__init__)
        1    0.000    0.000    0.000    0.000 datetime.py:469(timedelta)
        1    0.000    0.000    0.000    0.000 _nnls.py:1(<module>)
       16    0.000    0.000    0.000    0.000 _pep440.py:301(<genexpr>)
        1    0.000    0.000    0.000    0.000 dataprocessing.py:12(DataProcessing)
        1    0.000    0.000    0.000    0.000 _structures.py:29(InfinityType)
        1    0.000    0.000    0.000    0.000 _dict_learning.py:1100(SparseCoder)
        5    0.000    0.000    0.000    0.000 datetime.py:424(_check_time_fields)
        4    0.000    0.000    0.000    0.000 os.py:1073(__subclasshook__)
        4    0.000    0.000    0.000    0.000 iterative.py:120(combine)
        1    0.000    0.000    0.000    0.000 datetime.py:2181(timezone)
        1    0.000    0.000    0.000    0.000 _lda.py:141(LatentDirichletAllocation)
        2    0.000    0.000    0.000    0.000 selectors.py:202(__exit__)
        1    0.000    0.000    0.000    0.000 string_.py:231(StringArray)
        7    0.000    0.000    0.000    0.000 typing.py:1124(runtime_checkable)
        6    0.000    0.000    0.000    0.000 __init__.py:376(_assert_pid_not_reused)
        1    0.000    0.000    0.000    0.000 _pytesttester.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ElementPath.py:59(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:26(InfinityType)
        1    0.000    0.000    0.000    0.000 widgets.py:1689(SpanSelector)
        1    0.000    0.000    0.000    0.000 offsetbox.py:131(OffsetBox)
        1    0.000    0.000    0.000    0.000 container.py:5(Container)
        1    0.000    0.000    0.000    0.000 sf_error.py:1(<module>)
        1    0.000    0.000    0.000    0.000 Tmat.py:7(TMat)
       16    0.000    0.000    0.000    0.000 sysconfig.py:156(_subst_vars)
        1    0.000    0.000    0.000    0.000 pyarrow.py:1(<module>)
        1    0.000    0.000    0.000    0.000 grouper.py:424(Grouping)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:6973(rayleigh_gen)
        1    0.000    0.000    0.000    0.000 ssl.py:158(TLSVersion)
        1    0.000    0.000    0.000    0.000 locks.py:49(_ContextManagerMixin)
        1    0.000    0.000    0.000    0.000 stata.py:2993(StataWriter117)
        1    0.000    0.000    0.000    0.000 zipfile.py:318(ZipInfo)
       43    0.000    0.000    0.000    0.000 _compat_pickle.py:165(<genexpr>)
        1    0.000    0.000    0.000    0.000 scannet.py:215(Object3d)
        1    0.000    0.000    0.000    0.000 std.py:329(status_printer)
        1    0.000    0.000    0.000    0.000 fnmatch.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _deprecated_my_exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 blocks.py:1373(ExtensionBlock)
        2    0.000    0.000    0.000    0.000 textwrap.py:115(__init__)
        1    0.000    0.000    0.000    0.000 integer.py:48(_IntegerDtype)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:672(keys)
        1    0.000    0.000    0.000    0.000 inspect.py:2457(Parameter)
        1    0.000    0.000    0.000    0.000 threading.py:903(_set_tstate_lock)
       12    0.000    0.000    0.000    0.000 period.py:84(_field_accessor)
        1    0.000    0.000    0.000    0.000 display.py:17(detect_console_encoding)
        1    0.000    0.000    0.000    0.000 npyio.py:122(NpzFile)
        1    0.000    0.000    0.000    0.000 mask_ops.py:1(<module>)
       29    0.000    0.000    0.000    0.000 {method 'groupdict' of 're.Match' objects}
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:1490(expon_gen)
        1    0.000    0.000    0.000    0.000 compressor.py:231(BinaryZlibFile)
        1    0.000    0.000    0.000    0.000 _misc.py:488(_Options)
       10    0.000    0.000    0.000    0.000 _pytesttester.py:72(__init__)
        1    0.000    0.000    0.000    0.000 _trustregion_exact.py:186(IterativeSubproblem)
        1    0.000    0.000    0.000    0.000 std.py:657(get_lock)
        1    0.000    0.000    0.000    0.000 relativedelta.py:18(relativedelta)
        3    0.000    0.000    0.000    0.000 blas.py:410(get_blas_funcs)
        1    0.000    0.000    0.000    0.000 geo.py:14(GeoAxes)
        1    0.000    0.000    0.000    0.000 s3dis.py:22(S3DIS)
        4    0.000    0.000    0.000    0.000 {built-in method posix.register_at_fork}
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:281(norm_gen)
        2    0.000    0.000    0.000    0.000 generic.py:11051(_doc_params)
        6    0.000    0.000    0.000    0.000 {built-in method atexit.register}
        4    0.000    0.000    0.000    0.000 legend_handler.py:179(__init__)
        1    0.000    0.000    0.000    0.000 backend_bases.py:715(GraphicsContextBase)
        2    0.000    0.000    0.000    0.000 textwrap.py:179(<listcomp>)
        1    0.000    0.000    0.000    0.000 pytables.py:97(BinOp)
        1    0.000    0.000    0.000    0.000 bbox.py:37(Bbox3D)
       33    0.000    0.000    0.000    0.000 pyparsing.py:4229(<genexpr>)
        1    0.000    0.000    0.000    0.000 css.py:1(<module>)
        1    0.000    0.000    0.000    0.000 suite.py:16(BaseTestSuite)
        1    0.000    0.000    0.000    0.000 _nmf.py:1112(NMF)
        1    0.000    0.000    0.000    0.000 isoparser.py:42(isoparser)
        1    0.000    0.000    0.000    0.000 blocks.py:1681(NDArrayBackedExtensionBlock)
        1    0.000    0.000    0.000    0.000 numeric.py:344(Int64Index)
        1    0.000    0.000    0.000    0.000 selector_events.py:749(_SelectorSocketTransport)
        4    0.000    0.000    0.000    0.000 enum.py:889(_missing_)
        1    0.000    0.000    0.000    0.000 python_parser.py:43(PythonParser)
        1    0.000    0.000    0.000    0.000 ElementTree.py:125(Element)
        7    0.000    0.000    0.000    0.000 typing.py:307(__new__)
        1    0.000    0.000    0.000    0.000 argparse.py:1631(ArgumentParser)
        1    0.000    0.000    0.000    0.000 sql.py:1385(SQLDatabase)
        2    0.000    0.000    0.000    0.000 methods.py:14(_get_method_wrappers)
        4    0.000    0.000    0.000    0.000 isoparser.py:22(_takes_ascii)
        1    0.000    0.000    0.000    0.000 ssl.py:223(_TLSMessageType)
        1    0.000    0.000    0.000    0.000 result.py:24(TestResult)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:6596(pearson3_gen)
       27    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:771(is_package)
       27    0.000    0.000    0.000    0.000 _add_newdocs.py:6709(<genexpr>)
        4    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(atleast_1d)
        1    0.000    0.000    0.000    0.000 _add_newdocs.py:6668(numeric_type_aliases)
        1    0.000    0.000    0.000    0.000 _base.py:404(BaseExcelReader)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:4335(laplace_gen)
        1    0.000    0.000    0.000    0.000 trirefine.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _binary.py:15(<module>)
        8    0.000    0.000    0.000    0.000 accessor.py:173(__init__)
        1    0.000    0.000    0.000    0.000 base.py:147(BaseEstimator)
        2    0.000    0.000    0.000    0.000 __init__.py:430(validate)
        1    0.000    0.000    0.000    0.000 csr.py:17(csr_matrix)
      2/1    0.000    0.000    0.001    0.001 sysconfig.py:508(get_paths)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:576(beta_gen)
        1    0.000    0.000    0.000    0.000 _tester.py:1(<module>)
       19    0.000    0.000    0.000    0.000 cycler.py:145(change_key)
        2    0.000    0.000    0.000    0.000 __init__.py:843(_addHandlerRef)
        1    0.000    0.000    0.000    0.000 polynomial.py:1442(Polynomial)
        1    0.000    0.000    0.000    0.000 dispatch.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:2616(gamma_gen)
       12    0.000    0.000    0.000    0.000 _continuous_distns.py:54(_call_super_mom)
        1    0.000    0.000    0.000    0.000 _color_data.py:7(<module>)
        1    0.000    0.000    0.000    0.000 base_dataset.py:15(BaseDataset)
        1    0.000    0.000    0.000    0.000 collections.py:1137(RegularPolyCollection)
        1    0.000    0.000    0.000    0.000 _ode.py:105(ode)
       13    0.000    0.000    0.000    0.000 extension.py:119(inherit_names)
       24    0.000    0.000    0.000    0.000 dviread.py:123(_dispatch)
        1    0.000    0.000    0.000    0.000 pyparsing.py:3654(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:853(Handler)
        2    0.000    0.000    0.000    0.000 _version.py:7(<module>)
        1    0.000    0.000    0.000    0.000 cm.py:186(ScalarMappable)
        1    0.000    0.000    0.000    0.000 methods.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _threadsafety.py:1(<module>)
        1    0.000    0.000    0.000    0.000 quiver.py:255(QuiverKey)
        1    0.000    0.000    0.000    0.000 tz.py:36(tzutc)
        1    0.000    0.000    0.000    0.000 _lambertw.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _logsumexp.py:1(<module>)
        5    0.000    0.000    0.000    0.000 rcsetup.py:944(validate_hist_bins)
        1    0.000    0.000    0.000    0.000 backend_agg.py:362(FigureCanvasAgg)
        1    0.000    0.000    0.000    0.000 version.py:129(LegacyVersion)
        4    0.000    0.000    0.000    0.000 _internal.py:713(_fix_names)
        1    0.000    0.000    0.000    0.000 _multivariate.py:1402(__init__)
        2    0.000    0.000    0.000    0.000 nanops.py:995(_nanminmax)
        1    0.000    0.000    0.000    0.000 distance.py:1949(<dictcomp>)
        8    0.000    0.000    0.000    0.000 enum.py:676(_generate_next_value_)
        1    0.000    0.000    0.000    0.000 pathlib.py:136(<setcomp>)
        1    0.000    0.000    0.000    0.000 sysconfig.py:126(_is_python_source_dir)
        2    0.000    0.000    0.000    0.000 __init__.py:1683(cpu_times)
        2    0.000    0.000    0.000    0.000 model.py:264(__init__)
       11    0.000    0.000    0.000    0.000 version.py:294(<genexpr>)
        1    0.000    0.000    0.000    0.000 tz.py:369(__init__)
       12    0.000    0.000    0.000    0.000 opcode.py:43(name_op)
        2    0.000    0.000    0.000    0.000 __init__.py:12(<listcomp>)
        2    0.000    0.000    0.000    0.000 utils.py:136(disable_on_exception)
       22    0.000    0.000    0.000    0.000 expr.py:293(_op_maker)
      4/3    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.ndarray' objects}
       17    0.000    0.000    0.000    0.000 registry.py:32(module_dict)
        3    0.000    0.000    0.000    0.000 result.py:12(failfast)
        1    0.000    0.000    0.000    0.000 ops.py:82(Term)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:698(__init__)
        1    0.000    0.000    0.000    0.000 text.py:1253(TextWithDash)
        3    0.000    0.000    0.000    0.000 blas.py:383(getter)
       13    0.000    0.000    0.000    0.000 mixins.py:40(_inplace_binary_method)
        7    0.000    0.000    0.000    0.000 __init__.py:101(CFunctionType)
        1    0.000    0.000    0.000    0.000 patches.py:843(RegularPolygon)
        1    0.000    0.000    0.000    0.000 _ccallback.py:26(LowLevelCallable)
        1    0.000    0.000    0.000    0.000 engines.py:46(AbstractEngine)
        1    0.000    0.000    0.000    0.000 process.py:497(ProcessPoolExecutor)
       24    0.000    0.000    0.000    0.000 patches.py:1858(<genexpr>)
        1    0.000    0.000    0.000    0.000 _version.py:1(<module>)
        1    0.000    0.000    0.000    0.000 chebyshev.py:1966(Chebyshev)
        1    0.000    0.000    0.000    0.000 __init__.py:181(LegacyVersion)
        1    0.000    0.000    0.000    0.000 _multivariate.py:920(__init__)
        1    0.000    0.000    0.000    0.000 spfun_stats.py:32(<module>)
        1    0.000    0.000    0.000    0.000 _testutils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1760(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 _continuous_distns.py:4651(levy_stable_gen)
       10    0.000    0.000    0.000    0.000 rcsetup.py:300(__init__)
        7    0.000    0.000    0.000    0.000 {built-in method posix.WIFEXITED}
        1    0.000    0.000    0.000    0.000 subprocess.py:18(SubprocessStreamProtocol)
        2    0.000    0.000    0.000    0.000 _util.py:192(__init__)
        1    0.000    0.000    0.000    0.000 ElementTree.py:540(ElementTree)
        1    0.000    0.000    0.000    0.000 __init__.py:3151(Listbox)
        1    0.000    0.000    0.000    0.000 kitti.py:20(KITTI)
        1    0.000    0.000    0.000    0.000 ewm.py:708(OnlineExponentialMovingWindow)
        1    0.000    0.000    0.000    0.000 draw.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:423(LZ4FrameFile)
        5    0.000    0.000    0.000    0.000 pyparsing.py:4768(__str__)
        1    0.000    0.000    0.000    0.000 filedialog.py:27(FileDialog)
        1    0.000    0.000    0.000    0.000 _base.py:645(ExcelWriter)
        1    0.000    0.000    0.000    0.000 console.py:1(<module>)
        1    0.000    0.000    0.000    0.000 merge.py:602(_MergeOperation)
        1    0.000    0.000    0.000    0.000 frozen.py:18(FrozenList)
        1    0.000    0.000    0.000    0.000 numbers.py:294(Integral)
        1    0.000    0.000    0.000    0.000 tzinfo.py:18(memorized_timedelta)
        1    0.000    0.000    0.000    0.000 ticker.py:1197(EngFormatter)
        7    0.000    0.000    0.000    0.000 _decorators.py:93(deprecate_kwarg)
        1    0.000    0.000    0.000    0.000 confusion_matrix.py:12(ConfusionMatrixDisplay)
        1    0.000    0.000    0.000    0.000 __init__.py:4160(Spinbox)
        1    0.000    0.000    0.000    0.000 _external_visualizer.py:1(<module>)
       16    0.000    0.000    0.000    0.000 _string_helpers.py:44(english_upper)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1036(TimerBase)
       16    0.000    0.000    0.000    0.000 config.py:812(inner)
        1    0.000    0.000    0.000    0.000 pydoc.py:1073(TextDoc)
        1    0.000    0.000    0.000    0.000 _factories.py:1(<module>)
        6    0.000    0.000    0.000    0.000 dataclasses.py:1229(<lambda>)
        1    0.000    0.000    0.000    0.000 indexing.py:1380(_iLocIndexer)
        5    0.000    0.000    0.000    0.000 pyparsing.py:3606(__str__)
        1    0.000    0.000    0.000    0.000 hermite.py:1627(Hermite)
        1    0.000    0.000    0.000    0.000 transports.py:1(<module>)
        9    0.000    0.000    0.000    0.000 {built-in method sys.audit}
        1    0.000    0.000    0.000    0.000 _pyxlsb.py:13(PyxlsbReader)
        1    0.000    0.000    0.000    0.000 constructor.py:19(BaseConstructor)
        1    0.000    0.000    0.000    0.000 string_.py:57(StringDtype)
        1    0.000    0.000    0.000    0.000 inspect.py:2742(Signature)
