infrastructure @ /home/caillot/Documents/Dataset/CARLA_Dataset_B/./I000/
         3123406 function calls (3085231 primitive calls) in 4.389 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   1309/9    0.004    0.000    1.259    0.140 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
     7558    0.004    0.000    0.004    0.000 {method 'replace' of 'str' objects}
     5050    0.004    0.000    0.040    0.000 Tmat.py:8(__init__)
     2096    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
     2347    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:78(acquire)
     1267    0.003    0.000    0.050    0.000 <frozen importlib._bootstrap_external>:1367(_get_spec)
     1782    0.003    0.000    0.024    0.000 projector.py:13(getCwTc)
     1782    0.003    0.000    0.005    0.000 linalg.py:144(_commonType)
      990    0.003    0.000    0.003    0.000 {method 'flatten' of 'numpy.ndarray' objects}
     1429    0.003    0.000    0.006    0.000 functools.py:34(update_wrapper)
     2096    0.003    0.000    0.003    0.000 {method 'astype' of 'numpy.ndarray' objects}
     7371    0.003    0.000    0.003    0.000 {method 'update' of 'dict' objects}
     2347    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:103(release)
     7920    0.003    0.000    0.009    0.000 copy.py:263(<genexpr>)
     1232    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:689(spec_from_file_location)
    10382    0.003    0.000    0.004    0.000 sre_parse.py:164(__getitem__)
     6831    0.003    0.000    0.003    0.000 Tmat.py:17(set)
     3863    0.003    0.000    0.003    0.000 {built-in method _codecs.utf_8_decode}
      678    0.003    0.000    0.024    0.000 textwrap.py:414(dedent)
        4    0.002    0.001    0.004    0.001 codata.py:1498(parse_constants_2002to2014)
      379    0.002    0.000    0.017    0.000 _util.py:349(getfullargspec_no_self)
    10697    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        4    0.002    0.001    0.002    0.001 {method 'poll' of 'select.poll' objects}
     9198    0.002    0.000    0.002    0.000 sre_parse.py:233(__next)
     4370    0.002    0.000    0.003    0.000 copyreg.py:90(__newobj__)
 1855/510    0.002    0.000    0.003    0.000 sre_parse.py:174(getwidth)
     6052    0.002    0.000    0.002    0.000 {method 'split' of 'str' objects}
     4365    0.002    0.000    0.025    0.000 <__array_function__ internals>:2(amin)
     3305    0.002    0.000    0.002    0.000 {method 'format' of 'str' objects}
     1782    0.002    0.000    0.035    0.000 Tmat.py:49(inv)
     1782    0.002    0.000    0.003    0.000 bbox.py:38(__init__)
     6712    0.002    0.000    0.002    0.000 fromnumeric.py:74(<dictcomp>)
      142    0.002    0.000    0.002    0.000 {built-in method posix.listdir}
     3797    0.002    0.000    0.003    0.000 codecs.py:309(__init__)
       99    0.002    0.000    0.003    0.000 tokenize.py:183(untokenize)
   1048/6    0.002    0.000    1.149    0.191 <frozen importlib._bootstrap_external>:842(exec_module)
     1048    0.002    0.000    0.091    0.000 <frozen importlib._bootstrap_external>:638(_compile_bytecode)
       12    0.002    0.000    0.021    0.002 artist.py:1277(_get_setters_and_targets)
    24594    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
     8900    0.002    0.000    0.002    0.000 {method 'rpartition' of 'str' objects}
    16147    0.002    0.000    0.002    0.000 {built-in method builtins.issubclass}
